Group,ItemNumber,Block,Brightness,Brightness2,Ans,Scale,Relatedness,Timbre,SoundFile,SoundPath
2,1,B,same,the SAME,z,aeolian,related,piano,same_aeolian_related_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_piano_01.mp3?raw=true
2,1,B,same,the SAME,z,aeolian,unrelated,piano,same_aeolian_unrelated_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_piano_01.mp3?raw=true
2,1,B,same,the SAME,z,minor,related,piano,same_minor_related_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_piano_01.mp3?raw=true
2,1,B,same,the SAME,z,minor,unrelated,piano,same_minor_unrelated_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_piano_01.mp3?raw=true
2,2,B,bright,BRIGHT,m,aeolian,related,piano,bright_aeolian_related_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_piano_02.mp3?raw=true
2,2,B,bright,BRIGHT,m,aeolian,unrelated,piano,bright_aeolian_unrelated_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_piano_02.mp3?raw=true
2,2,B,bright,BRIGHT,m,minor,related,piano,bright_minor_related_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_piano_02.mp3?raw=true
2,2,B,bright,BRIGHT,m,minor,unrelated,piano,bright_minor_unrelated_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_piano_02.mp3?raw=true
2,3,B,same,the SAME,z,aeolian,related,piano,same_aeolian_related_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_piano_03.mp3?raw=true
2,3,B,same,the SAME,z,aeolian,unrelated,piano,same_aeolian_unrelated_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_piano_03.mp3?raw=true
2,3,B,same,the SAME,z,minor,related,piano,same_minor_related_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_piano_03.mp3?raw=true
2,3,B,same,the SAME,z,minor,unrelated,piano,same_minor_unrelated_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_piano_03.mp3?raw=true
2,4,B,bright,BRIGHT,m,aeolian,related,piano,bright_aeolian_related_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_piano_04.mp3?raw=true
2,4,B,bright,BRIGHT,m,aeolian,unrelated,piano,bright_aeolian_unrelated_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_piano_04.mp3?raw=true
2,4,B,bright,BRIGHT,m,minor,related,piano,bright_minor_related_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_piano_04.mp3?raw=true
2,4,B,bright,BRIGHT,m,minor,unrelated,piano,bright_minor_unrelated_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_piano_04.mp3?raw=true
2,5,B,same,the SAME,z,aeolian,related,piano,same_aeolian_related_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_piano_05.mp3?raw=true
2,5,B,same,the SAME,z,aeolian,unrelated,piano,same_aeolian_unrelated_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_piano_05.mp3?raw=true
2,5,B,same,the SAME,z,minor,related,piano,same_minor_related_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_piano_05.mp3?raw=true
2,5,B,same,the SAME,z,minor,unrelated,piano,same_minor_unrelated_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_piano_05.mp3?raw=true
2,6,B,bright,BRIGHT,m,aeolian,related,piano,bright_aeolian_related_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_piano_06.mp3?raw=true
2,6,B,bright,BRIGHT,m,aeolian,unrelated,piano,bright_aeolian_unrelated_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_piano_06.mp3?raw=true
2,6,B,bright,BRIGHT,m,minor,related,piano,bright_minor_related_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_piano_06.mp3?raw=true
2,6,B,bright,BRIGHT,m,minor,unrelated,piano,bright_minor_unrelated_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_piano_06.mp3?raw=true
3,1,B,bright,BRIGHT,m,aeolian,related,guitar,bright_aeolian_related_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_guitar_01.mp3?raw=true
3,1,B,bright,BRIGHT,m,aeolian,unrelated,guitar,bright_aeolian_unrelated_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_guitar_01.mp3?raw=true
3,1,B,bright,BRIGHT,m,minor,related,guitar,bright_minor_related_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_guitar_01.mp3?raw=true
3,1,B,bright,BRIGHT,m,minor,unrelated,guitar,bright_minor_unrelated_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_guitar_01.mp3?raw=true
3,2,B,same,the SAME,z,aeolian,related,guitar,same_aeolian_related_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_guitar_02.mp3?raw=true
3,2,B,same,the SAME,z,aeolian,unrelated,guitar,same_aeolian_unrelated_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_guitar_02.mp3?raw=true
3,2,B,same,the SAME,z,minor,related,guitar,same_minor_related_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_guitar_02.mp3?raw=true
3,2,B,same,the SAME,z,minor,unrelated,guitar,same_minor_unrelated_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_guitar_02.mp3?raw=true
3,3,B,bright,BRIGHT,m,aeolian,related,guitar,bright_aeolian_related_guitar_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_guitar_03.mp3?raw=true
3,3,B,bright,BRIGHT,m,aeolian,unrelated,guitar,bright_aeolian_unrelated_guitar_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_guitar_03.mp3?raw=true
3,3,B,bright,BRIGHT,m,minor,related,guitar,bright_minor_related_guitar_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_guitar_03.mp3?raw=true
3,3,B,bright,BRIGHT,m,minor,unrelated,guitar,bright_minor_unrelated_guitar_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_guitar_03.mp3?raw=true
3,4,B,same,the SAME,z,aeolian,related,guitar,same_aeolian_related_guitar_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_guitar_04.mp3?raw=true
3,4,B,same,the SAME,z,aeolian,unrelated,guitar,same_aeolian_unrelated_guitar_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_guitar_04.mp3?raw=true
3,4,B,same,the SAME,z,minor,related,guitar,same_minor_related_guitar_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_guitar_04.mp3?raw=true
3,4,B,same,the SAME,z,minor,unrelated,guitar,same_minor_unrelated_guitar_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_guitar_04.mp3?raw=true
3,5,B,bright,BRIGHT,m,aeolian,related,guitar,bright_aeolian_related_guitar_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_guitar_05.mp3?raw=true
3,5,B,bright,BRIGHT,m,aeolian,unrelated,guitar,bright_aeolian_unrelated_guitar_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_guitar_05.mp3?raw=true
3,5,B,bright,BRIGHT,m,minor,related,guitar,bright_minor_related_guitar_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_guitar_05.mp3?raw=true
3,5,B,bright,BRIGHT,m,minor,unrelated,guitar,bright_minor_unrelated_guitar_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_guitar_05.mp3?raw=true
3,6,B,same,the SAME,z,aeolian,related,guitar,same_aeolian_related_guitar_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_guitar_06.mp3?raw=true
3,6,B,same,the SAME,z,aeolian,unrelated,guitar,same_aeolian_unrelated_guitar_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_guitar_06.mp3?raw=true
3,6,B,same,the SAME,z,minor,related,guitar,same_minor_related_guitar_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_guitar_06.mp3?raw=true
3,6,B,same,the SAME,z,minor,unrelated,guitar,same_minor_unrelated_guitar_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_guitar_06.mp3?raw=true
4,1,B,bright,BRIGHT,m,aeolian,related,piano,bright_aeolian_related_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_piano_01.mp3?raw=true
4,1,B,bright,BRIGHT,m,aeolian,unrelated,piano,bright_aeolian_unrelated_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_piano_01.mp3?raw=true
4,1,B,bright,BRIGHT,m,minor,related,piano,bright_minor_related_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_piano_01.mp3?raw=true
4,1,B,bright,BRIGHT,m,minor,unrelated,piano,bright_minor_unrelated_piano_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_piano_01.mp3?raw=true
4,2,B,same,the SAME,z,aeolian,related,piano,same_aeolian_related_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_piano_02.mp3?raw=true
